q,j,state,R_q
5,0,A,1.666667
5,1,C,0.555556
5,2,B,1.111111
5,3,B,1.111111
5,4,C,0.555556
7,0,A,1.400000
7,1,C,0.840000
7,2,B,1.120000
7,3,C,0.840000
7,4,C,0.840000
7,5,B,1.120000
7,6,C,0.840000
11,0,A,1.222222
11,1,C,0.950617
11,2,C,0.950617
11,3,C,0.950617
11,4,B,1.086420
11,5,C,0.950617
11,6,C,0.950617
11,7,B,1.086420
11,8,C,0.950617
11,9,C,0.950617
11,10,C,0.950617
13,0,A,1.181818
13,1,C,0.966942
13,2,C,0.966942
13,3,C,0.966942
13,4,B,1.074380
13,5,C,0.966942
13,6,C,0.966942
13,7,C,0.966942
13,8,C,0.966942
13,9,B,1.074380
13,10,C,0.966942
13,11,C,0.966942
13,12,C,0.966942
17,0,A,1.133333
17,1,C,0.982222
17,2,C,0.982222
17,3,C,0.982222
17,4,C,0.982222
17,5,C,0.982222
17,6,B,1.057778
17,7,C,0.982222
17,8,C,0.982222
17,9,C,0.982222
17,10,C,0.982222
17,11,B,1.057778
17,12,C,0.982222
17,13,C,0.982222
17,14,C,0.982222
17,15,C,0.982222
17,16,C,0.982222
19,0,A,1.117647
19,1,C,0.986159
19,2,C,0.986159
19,3,C,0.986159
19,4,C,0.986159
19,5,C,0.986159
19,6,B,1.051903
19,7,C,0.986159
19,8,C,0.986159
19,9,C,0.986159
19,10,C,0.986159
19,11,C,0.986159
19,12,C,0.986159
19,13,B,1.051903
19,14,C,0.986159
19,15,C,0.986159
19,16,C,0.986159
19,17,C,0.986159
19,18,C,0.986159
23,0,A,1.095238
23,1,C,0.990930
23,2,C,0.990930
23,3,C,0.990930
23,4,C,0.990930
23,5,C,0.990930
23,6,C,0.990930
23,7,C,0.990930
23,8,B,1.043084
23,9,C,0.990930
23,10,C,0.990930
23,11,C,0.990930
23,12,C,0.990930
23,13,C,0.990930
23,14,C,0.990930
23,15,B,1.043084
23,16,C,0.990930
23,17,C,0.990930
23,18,C,0.990930
23,19,C,0.990930
23,20,C,0.990930
23,21,C,0.990930
23,22,C,0.990930
29,0,A,1.074074
29,1,C,0.994513
29,2,C,0.994513
29,3,C,0.994513
29,4,C,0.994513
29,5,C,0.994513
29,6,C,0.994513
29,7,C,0.994513
29,8,C,0.994513
29,9,C,0.994513
29,10,B,1.034294
29,11,C,0.994513
29,12,C,0.994513
29,13,C,0.994513
29,14,C,0.994513
29,15,C,0.994513
29,16,C,0.994513
29,17,C,0.994513
29,18,C,0.994513
29,19,B,1.034294
29,20,C,0.994513
29,21,C,0.994513
29,22,C,0.994513
29,23,C,0.994513
29,24,C,0.994513
29,25,C,0.994513
29,26,C,0.994513
29,27,C,0.994513
29,28,C,0.994513
31,0,A,1.068966
31,1,C,0.995244
31,2,C,0.995244
31,3,C,0.995244
31,4,C,0.995244
31,5,C,0.995244
31,6,C,0.995244
31,7,C,0.995244
31,8,C,0.995244
31,9,C,0.995244
31,10,B,1.032105
31,11,C,0.995244
31,12,C,0.995244
31,13,C,0.995244
31,14,C,0.995244
31,15,C,0.995244
31,16,C,0.995244
31,17,C,0.995244
31,18,C,0.995244
31,19,C,0.995244
31,20,C,0.995244
31,21,B,1.032105
31,22,C,0.995244
31,23,C,0.995244
31,24,C,0.995244
31,25,C,0.995244
31,26,C,0.995244
31,27,C,0.995244
31,28,C,0.995244
31,29,C,0.995244
31,30,C,0.995244
37,0,A,1.057143
37,1,C,0.996735
37,2,C,0.996735
37,3,C,0.996735
37,4,C,0.996735
37,5,C,0.996735
37,6,C,0.996735
37,7,C,0.996735
37,8,C,0.996735
37,9,C,0.996735
37,10,C,0.996735
37,11,C,0.996735
37,12,B,1.026939
37,13,C,0.996735
37,14,C,0.996735
37,15,C,0.996735
37,16,C,0.996735
37,17,C,0.996735
37,18,C,0.996735
37,19,C,0.996735
37,20,C,0.996735
37,21,C,0.996735
37,22,C,0.996735
37,23,C,0.996735
37,24,C,0.996735
37,25,B,1.026939
37,26,C,0.996735
37,27,C,0.996735
37,28,C,0.996735
37,29,C,0.996735
